yt_id;q_id;videoname
G1Hs2GZKOhw;Q603751;Pieter Bruegel the Elder, Peasant Wedding
y5lhKvKvWPg;Q1764395;Paul Gauguin, Vision after the Sermon, or Jacob Wrestling with the Angel
c2MuTvQM61Y;Q567861;Last Judgment (altar wall, Sistine Chapel)
DRlE85xYqzE;Q1622223;Coatlicue
REeBUSYRzRo;Q192222;Lysippos, Apoxyomenos (Scraper)
_alU-o_qDt8;Q3276414;Cimabue, Santa Trinita Madonna
mFJ9tHJA2Sw;Q6772906;William Hogarth, Marriage A-la-Mode (including Tˆte … Tˆte)
Z2Zmmx0u-gE;Q1813497;Wilton Diptych
rTey6h4BQhc;Q2066739;Andrea Mantegna, San Zeno Altarpiece
B9vXathZikM;Q2392901;Jan van Eyck, Portrait of a Man in a Red Turban (Self-Portrait?), 1433
C3DmiEsvs6U;Q5580;Drer's woodcuts and engravings
6w2E8G0sEPc;Q1430990;Bronzino, An Allegory with Venus and Cupid
YhsjS5CtCTE;Q2472983;Tintoretto, Last Supper
Z29bpAW1AUM;Q3873247;Pietro Lorenzetti, Birth of the Virgin
2GD1Oz0sPzY;Q1212098;Manet, The Railway
PEE3B8Fsuc0;Q844675;Ceiling of the Sistine Chapel
MxyQgpgc7Ds;Q28555568;Constable, View on the Stour near Dedham
-UZuG3XpAd0;Q3275776;Donatello, Mary Magdalene
NCu83PcEQ1U;Q2269343;Giovanni Bellini, San Zaccaria Altarpiece
9g-r2007Y8c;Q951105;Paolo Veronese. Feast in the House of Levi
H_Guv2Mk1E0;Q2030685;Raphael, Marriage of the Virgin, 1504
iV6_wTrkd70;Q128910;The Last Supper
XGZvvQ8BmjY;Q546297;Mantegna, Dead Christ
PxCTyVQMVbs;Q1751408;Bellini, San Giobbe Altarpiece
e41Wh7jhoxc;Q2273890;Tintoretto, the Miracle of the Slave
47QgqdeSi0U;Q3739862;Giotto, Arena (Scrovegni) Chapel (part 1)
It3i-dKusIM;Q211884;San Vitale, Ravenna
-ngmZo-dvy4;Q572697;Titian, Madonna of the Pesaro Family
2MzPOrcsWB0;Q1899740;Titian, Assumption of the Virgin
LFA_qmGuY2A;Q930137;Giorgione, The Tempest
T-Yv4mp5yp8;Q374591;Lysippos, Farnese Hercules
